time,event,trial,stimulus
1781034296.753981,START,,
1781034296.7544,TRIAL_START,0,A
1781034298.7660477,TONE_ON,0,A
1781034298.766547,SHOCK_ON,0,A
1781034300.7673917,SHOCK_OFF,0,A
1781034300.7677157,TRIAL_END,0,A
1781034303.1626933,TRIAL_START,1,B
1781034305.1658041,TONE_ON,1,B
1781034307.2647839,TRIAL_END,1,B
1781034309.6310554,TRIAL_START,2,A
1781034311.6385677,TONE_ON,2,A
1781034311.638968,SHOCK_ON,2,A
1781034313.639929,SHOCK_OFF,2,A
1781034313.640362,TRIAL_END,2,A
1781034316.2498128,TRIAL_START,3,B
1781034318.2665,TONE_ON,3,B
1781034320.2669919,TRIAL_END,3,B
1781034322.7246192,TRIAL_START,4,A
1781034324.7384076,TONE_ON,4,A
1781034324.7389557,SHOCK_ON,4,A
1781034326.7397943,SHOCK_OFF,4,A
1781034326.7401807,TRIAL_END,4,A
1781034329.0703642,TRIAL_START,5,A
1781034331.0869474,TONE_ON,5,A
1781034331.0873942,SHOCK_ON,5,A
1781034333.0880756,SHOCK_OFF,5,A
1781034333.088523,TRIAL_END,5,A
1781034336.022691,END,,
