time,event,trial,stimulus
1781034092.5120904,START,,
1781034092.5124488,TRIAL_START,0,A
1781034094.5382266,TONE_ON,0,A
1781034095.5486486,SHOCK_ON,0,A
1781034097.5500011,SHOCK_OFF,0,A
1781034097.5502815,TRIAL_END,0,A
1781034099.6245239,TRIAL_START,1,B
1781034101.6430576,TONE_ON,1,B
1781034103.6439211,TRIAL_END,1,B
1781034105.8105938,TRIAL_START,2,A
1781034107.8180242,TONE_ON,2,A
1781034108.8250527,SHOCK_ON,2,A
1781034110.8259902,SHOCK_OFF,2,A
1781034110.8262591,TRIAL_END,2,A
1781034113.7920778,TRIAL_START,3,B
1781034115.8082538,TONE_ON,3,B
1781034117.8095284,TRIAL_END,3,B
1781034120.454564,TRIAL_START,4,A
1781034122.4651606,TONE_ON,4,A
1781034123.4731216,SHOCK_ON,4,A
1781034125.4738336,SHOCK_OFF,4,A
1781034125.4740734,TRIAL_END,4,A
1781034128.1999803,TRIAL_START,5,A
1781034130.207806,TONE_ON,5,A
1781034131.2131636,SHOCK_ON,5,A
1781034133.2138245,SHOCK_OFF,5,A
1781034133.214271,TRIAL_END,5,A
1781034135.3801441,END,,
1781034141.696332,START,,
1781034141.6966112,TRIAL_START,0,A
1781034143.7034729,TONE_ON,0,A
1781034144.7117968,SHOCK_ON,0,A
1781034146.7124126,SHOCK_OFF,0,A
1781034146.712696,TRIAL_END,0,A
1781034148.750217,TRIAL_START,1,B
1781034150.766777,TONE_ON,1,B
1781034152.7673862,TRIAL_END,1,B
1781034155.1509912,TRIAL_START,2,A
1781034157.1570165,TONE_ON,2,A
1781034158.1587853,SHOCK_ON,2,A
1781034160.1594486,SHOCK_OFF,2,A
1781034160.1598651,TRIAL_END,2,A
1781034162.5478733,TRIAL_START,3,B
1781034164.549157,TONE_ON,3,B
1781034166.5501044,TRIAL_END,3,B
1781034169.4691079,TRIAL_START,4,A
1781034171.4812987,TONE_ON,4,A
1781034172.4891977,SHOCK_ON,4,A
1781034174.4907296,SHOCK_OFF,4,A
1781034174.4910579,TRIAL_END,4,A
1781034177.2148685,TRIAL_START,5,A
1781034179.2165349,TONE_ON,5,A
1781034180.226168,SHOCK_ON,5,A
1781034182.2275882,SHOCK_OFF,5,A
1781034182.2278655,TRIAL_END,5,A
1781034185.109603,END,,
